caderno_id,caderno,diario
1,paginas sem caderno,DJAC
2,jurisdicional - primeiro grau,DJAL
3,jurisdicional e administrativo,DJAL
4,administrativo,DJAM
5,distribuicao e eliminacao de processos judiciais,DJAM
6,judiciario,DJAM
7,judiciario - interior,DJAM
8,paginas sem caderno,DJAP
9,caderno 1 - administrativo,DJBA
10,caderno 2 - entrancia final - capital,DJBA
11,caderno 3 - entrancia intermediaria,DJBA
12,caderno 4 - entrancia inicial,DJBA
13,administrativo,DJCE
14,judiciario,DJCE
15,paginas sem caderno,DJCE
16,paginas sem caderno,DJDF
17,edicao diaria,DJES
18,paginas sem caderno,DJES
19,paginas sem caderno,DJGO
20,secao i,DJGO
21,secao ii,DJGO
22,secao iii,DJGO
23,suplemento,DJGO
24,suplemento - secao i,DJGO
25,"suplemento - secao i, 2a parte",DJGO
26,suplemento - secao ii,DJGO
27,"suplemento - secao ii, 2a parte",DJGO
28,suplemento - secao iii,DJGO
29,"suplemento - secao iii, 2a parte",DJGO
30,suplemento 1,DJGO
31,suplemento 10,DJGO
32,suplemento 2,DJGO
33,suplemento 3,DJGO
34,suplemento 4,DJGO
35,suplemento 5,DJGO
36,suplemento 6,DJGO
37,suplemento 7,DJGO
38,suplemento 8,DJGO
39,suplemento 9,DJGO
40,paginas sem caderno,DJMA
41,suplemento,DJMA
42,2a inst. judicial,DJMG
43,abaete,DJMG
44,abre-campo,DJMG
45,acucena,DJMG
46,administrativo,DJMG
47,aguas formosas,DJMG
48,aimores,DJMG
49,aiuruoca,DJMG
50,alem paraiba,DJMG
51,alfenas,DJMG
52,almenara,DJMG
53,alpinopolis,DJMG
54,alto rio doce,DJMG
55,alvinopolis,DJMG
56,andradas,DJMG
57,andrelandia,DJMG
58,aracuai,DJMG
59,araguari,DJMG
60,araxa,DJMG
61,arcos,DJMG
62,areado,DJMG
63,arinos,DJMG
64,baependi,DJMG
65,bambui,DJMG
66,barao de cocais,DJMG
67,barbacena,DJMG
68,barroso,DJMG
69,belo horizonte,DJMG
70,belo vale,DJMG
71,betim,DJMG
72,bicas,DJMG
73,boa esperanca,DJMG
74,bocaiuva,DJMG
75,bom despacho,DJMG
76,bom sucesso,DJMG
77,bonfim,DJMG
78,bonfinopolis de minas,DJMG
79,borda da mata,DJMG
80,botelhos,DJMG
81,brasilia de minas,DJMG
82,brasopolis,DJMG
83,brumadinho,DJMG
84,bueno brandao,DJMG
85,buenopolis,DJMG
86,buritis,DJMG
87,cabo verde,DJMG
88,cachoeira de minas,DJMG
89,caete,DJMG
90,caldas,DJMG
91,camanducaia,DJMG
92,cambui,DJMG
93,cambuquira,DJMG
94,campanha,DJMG
95,campestre,DJMG
96,campina verde,DJMG
97,campo belo,DJMG
98,campos altos,DJMG
99,campos gerais,DJMG
100,canapolis,DJMG
101,candeias,DJMG
102,capelinha,DJMG
103,capinopolis,DJMG
104,carandai,DJMG
105,carangola,DJMG
106,caratinga,DJMG
107,carlos chagas,DJMG
108,carmo da mata,DJMG
109,carmo de minas,DJMG
