classe_id,classe,classe_accents,classe_sigla
1,ACAO ANULATORIA DE CLAUSULAS CONVENCIONAIS,Ação Anulatória de Cláusulas Convencionais,AACC
7,ACAO DE ALIMENTOS,Ação de Alimentos,AAlim
63,APELACAO CIVEL,Apelação Cível,AC
2,ACAO CAUTELAR,Ação Cautelar,AC
3,ACAO CIVIL COLETIVA,Ação Civil Coletiva,ACC
4,ACAO CIVIL DE IMPROBIDADE ADMINISTRATIVA,Ação Civil de Improbidade Administrativa,ACIA
5,ACAO CIVIL ORIGINARIA,Ação Civil Originária,ACO
6,ACAO CIVIL PUBLICA,Ação Civil Pública,ACP
64,APELACAO CRIMINAL,Apelação Criminal,ACr
8,ACAO DE CUMPRIMENTO,Ação de Cumprimento,ACum
13,ACAO DECLARATORIA DE CONSTITUCIONALIDADE,Ação Declaratória de Constitucionalidade,ADC
156,DECLARATORIA DE CONSTITUCIONALIDADE,Declaratória de Constitucionalidade,ADC
69,APREENSAO E DEPOSITO DE COISA VENDIDA COM RESERVA DE DOMINIO,Apreensão e Depósito de Coisa Vendida com Reserva de Domínio,ADCVRD
14,ACAO DIRETA DE INCONSTITUCIONALIDADE,Ação Direta de Inconstitucionalidade,ADI
170,DIRETA DE INCONSTITUCIONALIDADE,Direta de Inconstitucionalidade,ADI
73,ARGUICAO DE DESCUMPRIMENTO DE PRECEITO FUNDAMENTAL,Arguição de Descumprimento de Preceito Fundamental,ADPF
160,DEPOSITO DA LEI 8 86694,Depósito da Lei 8. 866/94,ADepos
70,APURACAO DE ELEICAO,Apuração de Eleição,AE
44,AGRAVO DE INSTRUMENTO EM RECURSO EXTRAORDINARIO,Agravo de Instrumento em Recurso Extraordinário,AG/RE
40,AGRAVO DE INSTRUMENTO EM RECURSO DE HABEAS CORPUS,Agravo de Instrumento em Recurso de Habeas Corpus,AG/RHC
41,AGRAVO DE INSTRUMENTO EM RECURSO DE MANDADO DE SEGURANCA,Agravo de Instrumento em Recurso de Mandado de Segurança,AG/RMS
38,AGRAVO DE INSTRUMENTO,Agravo de Instrumento,AI
10,ACAO DE IMPROBIDADE ADMINISTRATIVA,Ação de Improbidade Administrativa,AIA
71,APURACAO DE INFRACAO ADMINISTRATIVA AS NORMAS DE PROTECAO A CRIANCA OU ADOLESCENTE,Apuração de Infração Administrativa às Normas de Proteção à Criança ou Adolescente,AIANPCA
39,AGRAVO DE INSTRUMENTO EM AGRAVO DE PETICAO,Agravo de Instrumento em Agravo de Petição,AIAP
72,APURACAO DE IRREGULARIDADES EM ENTIDADES DE ATENDIMENTO,Apuração de Irregularidades em Entidades de Atendimento,AIEA
12,ACAO DE INVESTIGACAO JUDICIAL ELEITORAL,Ação de Investigação Judicial Eleitoral,AIJE
11,ACAO DE IMPUGNACAO DE MANDATO ELETIVO,Ação de Impugnação de Mandato Eletivo,AIME
43,AGRAVO DE INSTRUMENTO EM RECURSO ESPECIAL,Agravo de Instrumento em Recurso Especial,AIRE
45,AGRAVO DE INSTRUMENTO EM RECURSO ORDINARIO,Agravo de Instrumento em Recurso Ordinário,AIRO
46,AGRAVO DE INSTRUMENTO EM RECURSO ORDINARIO PARA O STF,Agravo de Instrumento em Recurso Ordinário para o STF,AIROSTF
42,AGRAVO DE INSTRUMENTO EM RECURSO DE REVISTA,Agravo de Instrumento em Recurso de Revista,AIRR
16,ACAO ORIGINARIA,Ação Originária,AO
17,ACAO ORIGINARIA ESPECIAL,Ação Originária Especial,AOE
