classe_id,natureza,dispositivo_legal,artigo,polo_ativo,polo_passivo,justica
0,Jurisdição Voluntária,CPC,1125,Requerente,,just_es_1grau
33,,L. 8069/90,31 e 39,Requerente,Requerido,just_es_1grau
34,,L. 8069/90,39 e 155,Requerente,Requerido,just_es_1grau
35,,ECA,Art.115,Requerente,Adolescente,just_es_1grau
37,Recurso,7210/84,197,Agravante,Agravado,just_es_1grau
48,Recursal,Lei 12.594/2012 e LEP,Art. 39 (Lei 12.594/2012) e art. 197 (LEP),Agravante,Agravado,just_es_1grau
54,Jurisdição Voluntária,CPC,1113,Requerente,Interessado,just_es_1grau
53,,Lei 11343/06,"62, § 6º",,,just_es_1grau
55,Especial,L.E.,L.5.478/68,Autor,Réu,just_es_1grau
56,Cautelar,CPC,852,Requerente,Requerido,just_es_1grau
57,Jurisdição Voluntária,CC,1.639 § 2º ,Interessado,Interessado,just_es_1grau
58,,CPC,,,,just_es_1grau
59,Especial,L.E,L 6.858/80,Requerente,Interessado,just_es_1grau
60,Incidente,Lei 7210/84 - LEP; CPPM,187; 650,Requerente,,just_es_1grau
61,Especial,CPC,907,Autor,Réu,just_es_1grau
68,Cautelar,CPC,885,Requerente,Requerido,just_es_1grau
67,Especial,L.E.,DL.1.608/39 - 757,Requerente,Requerido,just_es_1grau
69,Especial,CPC,1071,Autor,Réu,just_es_1grau
71,,L. 8069/90,194-197,Requerente,Requerido,just_es_1grau
72,,L. 8069/90,191-193,Requerente,Requerido,just_es_1grau
77,Jurisdição Voluntária,CPC,1170,Requerente,,just_es_1grau
78,Cautelar,CPC,813,Requerente,Requerido,just_es_1grau
79,Incidente,CPP; CPPM,"134, 135 e 136; 206, 215 a 219",Requerente,Acusado,just_es_1grau
80,Especial,L.E.,DL.1.608/39 - 772,Requerente,Requerido,just_es_1grau
81,,CPC,1036,Requerente,Requerido,just_es_1grau
83,Especial,CPC,1.031 a 1.035,Requerente,Requerido,just_es_1grau
82,Cautelar,CPC,855,Requerente,Requerido,just_es_1grau
84,,CPC 2015,99,,,just_es_1grau
84,,Lei 1.060/50,6º,,,just_es_1grau
85,Cautelar,CPC,879,Requerente,Requerido,just_es_1grau
88,,ECA,"Art. 173, § 1º",Autoridade,Adolescente,just_es_1grau
89,Investigatória,CPP,289-A e 290,Autoridade,Acusado,just_es_1grau
90,Inquérito,CF; CPP; CPPM,"5º, LXII; 304; 230, al. ""a"" ",Autoridade,Flagranteado,just_es_1grau
91,,L. 8069/90,83,,,just_es_1grau
92,Incidente,Lei nº 11.343/06,art. 56 § 2º,,,just_es_1grau
93,Especial,L.E.,DL.1.608/39 - 765,Requerente,Requerido,just_es_1grau
94,Especial,L.8.560/92,2º,Requerente,Requerido,just_es_1grau
3,Especial,L.E.,L.8.078/90 - 91,Autor,Réu,just_es_1grau
6,Especial,L.E.,L 7.347/85;  L.10.741/03 (art. 74 e 81); L.8.069/90 (art. 210);  L. 8.078/90 (art. 81 e 82).,Autor,Réu,just_es_1grau
6,,L. 8069/90,"148, IV",Autor,Réu,just_es_1grau
4,Especial,Lei 8.429/92  ,,Autor,Réu,just_es_1grau
22,Comum,CPP,24 e 394 ,Autor,Réu,just_es_1grau
24,Comum,CPP,"394, § 1º, III; Lei 11.719/2008",Autor,Réu,just_es_1grau
23,Comum,CP,"394, § 1º, II; Lei 11.719/2008",Autor,Réu,just_es_1grau
19,Comum,CPP,406,Autor,Réu,just_es_1grau
25,Especial,L.E.,L.4.717/65 - 1º e 7º,Autor,Réu,just_es_1grau
7,,L. 8069/90,"148 § ú""g""",Requerente,Requerido,just_es_1grau
9,Especial,CPC,"914, II",Autor,Réu,just_es_1grau
96,Inquérito,ECA,"art. 173, § único",Autoridade,Autor do Fato,just_es_1grau
97,,CPC,art. 839,Requerente,Requerido,just_es_1grau
97,Cautelar,CPC,839,Requerente,Requerido,just_es_1grau
97,,,,,,just_es_1grau
98,Especial,L.E.,DL.911/69 - 3º,Autor,Réu,just_es_1grau
101,,CPC,"237, IV,",Requerente,Requerido,just_es_1grau
107,,CPP; CPPM,353-356;359,Deprecante,Deprecado,just_es_1grau
106,,CPC,202,Deprecante,Deprecado,just_es_1grau
110,,CPC,arts. 201 e 202,Deprecante,Deprecado,just_es_1grau
109,,CPC,arts. 201 e 202,Deprecante,Deprecado,just_es_1grau
103,,CPC - aplicação analógica,201,Ordenante,Ordenado,just_es_1grau
102,,CPC,202,Ordenante,Ordenado,just_es_1grau
105,,CPC,arts. 201 e 202,Ordenante,Ordenado,just_es_1grau
104,,CPC,arts. 201 e 202,Ordenante,Ordenado,just_es_1grau
117,Cautelar,L 8.397/92,2º e 5º,Requerente,Requerido,just_es_1grau
118,Cautelar,CPC,798,Requerente,Requerido,just_es_1grau
118,,CPC,art. 798,Requerente,Requerido,just_es_1grau
119,Cautelar,,,Requerente,Requerido,just_es_1grau
116,Cautelar,CPC,826,Requerente,Requerido,just_es_1grau
120,Especial,L.E.,DL.413/69 - 41,Autor,Réu,just_es_1grau
121,Especial,L.E.,"L.9.307/96 - 7º e 16, § 2º",Autor,Réu,just_es_1grau
123,Incidente,Lei 7210/84 - LEP; CPPM; Decreto Presidencial,"70, I; 643 e ss",Requerente,,just_es_1grau
124,Jurisdição Voluntária,CPC,1125,Requerente,,just_es_1grau
131,Especial,L.E.,L.8.245/91 - 67,Autor,Réu,just_es_1grau
130,Especial,CPC,890,Autor,Réu,just_es_1grau
133,Incidente,CPC 2015,"340, §1º",Requerente,Requerido,just_es_1grau
134,,CPC,871,Requerente,Requerido,just_es_1grau
136,Incidente,CP; Lei 7210/84 - LEP,"43, 44, §§ 4º e 5º;180, 183",Requerente,Requerido,just_es_1grau
137,Especial,L.E.,L.6.515/77 - 35,Requerente,Requerido ,just_es_1grau
