cod_item,cod_item_pai,nome,situacao,dat_versao,dsc_caminho_completo
14,,DIREITO TRIBUTÁRIO,A,2025-09-11 16:34:41,
195,,DIREITO PREVIDENCIÁRIO,A,2025-09-11 16:34:41,
287,,DIREITO PENAL,A,2025-09-11 16:34:41,
864,,DIREITO DO TRABALHO,A,2025-09-11 16:34:41,
899,,DIREITO CIVIL,A,2025-09-11 16:34:41,
1146,,DIREITO MARÍTIMO,A,2025-09-11 16:34:41,
1156,,DIREITO DO CONSUMIDOR,A,2025-09-11 16:34:41,
1209,,DIREITO PROCESSUAL PENAL,A,2025-09-11 16:34:41,
1654,864,Contrato Individual de Trabalho,I,2025-09-11 16:34:41,
1658,864,Duração do Trabalho,I,2025-09-11 16:34:41,
1661,1658,Horas In Itinere,I,2025-09-11 16:34:41,
1663,1658,Adicional Noturno,I,2025-09-11 16:34:41,
1666,2594,Insalubridade,I,2025-09-11 16:34:41,
1681,2594,Periculosidade,I,2025-09-11 16:34:41,
1690,1697,Contribuição Assistencial,I,2025-09-11 16:34:41,
1691,1697, Contribuição Confederativa,I,2025-09-11 16:34:41,
1695,864,Direito Coletivo do Trabalho,A,2025-09-11 16:34:41,
1697,864,Direito Sindical e Questões Análogas,I,2025-09-11 16:34:41,
1703,1697, Eleição,I,2025-09-11 16:34:41,
1705,1697, Registro de Entidade Sindical,I,2025-09-11 16:34:41,
1721,2458,Salário In Natura,I,2025-09-11 16:34:41,
1723,1855,Assédio Moral,I,2025-09-11 16:34:41,
1724,1855,Assédio Sexual,I,2025-09-11 16:34:41,
1767,2581,Cesta Básica,I,2025-09-11 16:34:41,
1773,1697,Contribuição Sindical,I,2025-09-11 16:34:41,
1783,2581,Comissões e Percentuais,I,2025-09-11 16:34:41,
1789,2581,Complemento Temporário Variável de Ajuste ao Piso de Mercado,I,2025-09-11 16:34:41,
1806,1654,Alteração Contratual ou das Condições de Trabalho,I,2025-09-11 16:34:41,
1807,1816,Contrato de Experiência - Nulidade,I,2025-09-11 16:34:41,
1814,5272,Contrato Nulo,I,2025-09-11 16:34:41,
1816,1654,Contrato Por Prazo Determinado,I,2025-09-11 16:34:41,
1822,5272,Contrato Temporário,I,2025-09-11 16:34:41,
1844,1654,CTPS,I,2025-09-11 16:34:41,
1849,2620,Culpa Recíproca,I,2025-09-11 16:34:41,
1855,2567,Indenizaçao por Dano Moral,I,2025-09-11 16:34:41,
1888,2581,Descontos Salariais - Devolução,I,2025-09-11 16:34:41,
1904,2620,Despedida / Dispensa Imotivada,I,2025-09-11 16:34:41,
1907,2620,Justa Causa / Falta Grave,I,2025-09-11 16:34:41,
1920,2581,Diárias,I,2025-09-11 16:34:41,
1929,2656,Dirigente Sindical,I,2025-09-11 16:34:41,
1932,1806,Reversão / Retorno ao Cargo Efetivo,I,2025-09-11 16:34:41,
1937,864,Responsabilidade Solidária / Subsidiária,I,2025-09-11 16:34:41,
1957,1654,PIS / RAIS,I,2025-09-11 16:34:41,
1965,2656, Empregado Público,I,2025-09-11 16:34:41,
1966,2656, Portador de HIV,I,2025-09-11 16:34:41,
1976,2656,Contrato Suspenso,I,2025-09-11 16:34:41,
1977,2656,Estabilidade decorrente de Norma Coletiva,I,2025-09-11 16:34:41,
1978,2656, Gestante,I,2025-09-11 16:34:41,
1981,2656, Membro da Cipa,I,2025-09-11 16:34:41,
1998,2546,Multa de 40% do FGTS,I,2025-09-11 16:34:41,
2019,2662,Fruição / Gozo ,I,2025-09-11 16:34:41,
2021,2662,Indenização / Terço Constitucional,I,2025-09-11 16:34:41,
2029,1654,FGTS mas em outro ramo na árvore da justiça do trabalho,I,2025-09-11 16:34:41,
2031,2029,Correção Monetária,I,2025-09-11 16:34:41,
2033,2029,Depósito / Diferenças,I,2025-09-11 16:34:41,
2037,2029,Levantamento / Liberação,I,2025-09-11 16:34:41,
2055,2581,Gratificação,A,2025-09-11 16:34:41,
2086,1658,Horas Extras,I,2025-09-11 16:34:41,
2116,1658,Sobreaviso,I,2025-09-11 16:34:41,
2117,2581,Supressão de Horas Extras Habituais - Indenização,I,2025-09-11 16:34:41,
2133,1654,Inquérito Administrativo,I,2025-09-11 16:34:41,
2135,864,Sentença Normativa,I,2025-09-11 16:34:41,
2139,1658,Intervalo Interjornada,I,2025-09-11 16:34:41,
2140,1658,Intervalo Intrajornada,I,2025-09-11 16:34:41,
2141,1658,Adicional de Hora Extra,I,2025-09-11 16:34:41,
2210,2546,Multa do Artigo 467 da CLT,I,2025-09-11 16:34:41,
2212,2546,Multa do Artigo 477 da CLT,I,2025-09-11 16:34:41,
2215,2581,Multa Prevista em Norma Coletiva,I,2025-09-11 16:34:41,
2233,1654,Contratação de Reabilitados e Deficientes Habilitados,I,2025-09-11 16:34:41,
2243,2620,Plano de Demissão Voluntária,I,2025-09-11 16:34:41,
2266,5272,Contratação em Período Eleitoral,I,2025-09-11 16:34:41,
2273,2581,PIS - Indenização,I,2025-09-11 16:34:41,
2275,2458,Piso Salarial da Categoria / Salário Mínimo Profissional,I,2025-09-11 16:34:41,
2331,2581,Prêmio,I,2025-09-11 16:34:41,
2349,2581,Contribuição de Previdência Privada - Resgate,I,2025-09-11 16:34:41,
2364,2581,Plano de Saúde,I,2025-09-11 16:34:41,
2409,1654,Enquadramento / Classificação,I,2025-09-11 16:34:41,
2421,1654,Reintegração de Posse - Despejo,I,2025-09-11 16:34:41,
2426,1658,Repouso Semanal Remunerado e Feriado,I,2025-09-11 16:34:41,
2435,2620,Rescisão Indireta,I,2025-09-11 16:34:41,
2445,1806,Alteração / Revogação de Regulamento da Empresa,I,2025-09-11 16:34:41,
2449,2458,Reajuste Salarial,I,2025-09-11 16:34:41,
2450,2581,Gorjeta,I,2025-09-11 16:34:41,
2452,2458,Salário Vencido / Retido,I,2025-09-11 16:34:41,
2458,2581,Salário / Diferença Salarial,I,2025-09-11 16:34:41,
2461,2458,Salário Família,I,2025-09-11 16:34:41,
2463,2458,Salário Paternidade,I,2025-09-11 16:34:41,
2466,2458,Salário Por Fora - Integração,I,2025-09-11 16:34:41,
2468,2458,Salário Por Safra,I,2025-09-11 16:34:41,
2477,2581,Seguro de Vida,I,2025-09-11 16:34:41,
2478,2620,Seguro Desemprego,I,2025-09-11 16:34:41,
2479,2478,Indenização,I,2025-09-11 16:34:41,
2480,2478,Liberação das Guias,I,2025-09-11 16:34:41,
2493,2581,Tarefa ,I,2025-09-11 16:34:41,
2506,2581,Auxílio / Tíquete Alimentação,I,2025-09-11 16:34:41,
2523,1806,Transferência,I,2025-09-11 16:34:41,
2537,1654,Unicidade Contratual,I,2025-09-11 16:34:41,
2540,2581,Vale Transporte,I,2025-09-11 16:34:41,
2546,2620,Verbas Rescisórias,I,2025-09-11 16:34:41,
2554,1654,Reconhecimento de Relação de Emprego,I,2025-09-11 16:34:41,
2557,7628,Aprendizagem,I,2025-09-11 16:34:41,
2558,7628,Cooperado,I,2025-09-11 16:34:41,
2559,7628,Estágio,I,2025-09-11 16:34:41,
2567,864,Responsabilidade Civil do Empregador,I,2025-09-11 16:34:41,
2569,1855,Acidente de Trabalho,I,2025-09-11 16:34:41,
2581,864,"Verbas Remuneratórias, Indenizatórias e Benefícios",I,2025-09-11 16:34:41,
2583,2581,Abono,I,2025-09-11 16:34:41,
2594,2581,Adicional ,I,2025-09-11 16:34:41,
2604,2594,Adicional de Transferência,I,2025-09-11 16:34:41,
2606,2581,Ajuda de Custo,I,2025-09-11 16:34:41,
2620,864,Rescisão do Contrato de Trabalho,I,2025-09-11 16:34:41,
2622,864,Aposentadoria e Pensão,I,2025-09-11 16:34:41,
2624,2622,Complementação de Aposentadoria / Pensão,I,2025-09-11 16:34:41,
2641,2546,AVISO PRÉVIO,I,2025-09-11 16:34:41,
2656,2620,Reintegração / Readmissão ou Indenização Substitutiva,I,2025-09-11 16:34:41,
2657,2656,Anistia,I,2025-09-11 16:34:41,
2661,2656,Estabilidade Acidentária,I,2025-09-11 16:34:41,
2662,864,Férias,I,2025-09-11 16:34:41,
2663,2662,Abono Pecuniário,I,2025-09-11 16:34:41,
2666,2581,Décimo Terceiro Salário,I,2025-09-11 16:34:41,
2670,1654,Advertência / Suspensão,I,2025-09-11 16:34:41,
2697,2458,Salário por Equiparação / Isonomia,I,2025-09-11 16:34:41,
2704,1937,Terceirização / Tomador de Serviços,I,2025-09-11 16:34:41,
3369,287,Crimes contra a vida,A,2025-09-11 16:34:41,
3370,3369,Homicídio Simples,A,2025-09-11 16:34:41,
3371,3369,Homicídio Privilegiado,A,2025-09-11 16:34:41,
3372,3369,Homicídio Qualificado,A,2025-09-11 16:34:41,
3373,3369,"Induzimento, Instigação ou Auxílio a Suicídio",A,2025-09-11 16:34:41,
3375,3369,Infanticídio,A,2025-09-11 16:34:41,
3385,287,Lesão Corporal,A,2025-09-11 16:34:41,
3386,3385,Leve,A,2025-09-11 16:34:41,
3387,3385,Seguida de Morte,A,2025-09-11 16:34:41,
3388,287,Periclitação da Vida e da Saúde,A,2025-09-11 16:34:41,
3389,3388,Perigo de contágio de moléstia grave,A,2025-09-11 16:34:41,
3390,3388,Perigo para a vida ou saúde de outrem,A,2025-09-11 16:34:41,
3391,3388,Abandono de incapaz,A,2025-09-11 16:34:41,
3392,3388,Omissão de socorro,A,2025-09-11 16:34:41,
3393,287,Rixa,A,2025-09-11 16:34:41,
3394,287,Crimes contra a Honra,A,2025-09-11 16:34:41,
