cod_item,cod_item_pai,nome,situacao,dat_versao,dsc_caminho_completo
2,,PROCESSO CÍVEL E DO TRABALHO,A,2025-09-11 16:34:41,
5,,SUPERIOR TRIBUNAL DE JUSTIÇA,A,2025-09-11 16:34:41,
7,1107,Procedimento Comum Cível,A,2025-09-11 16:34:41,
22,1107,Procedimento Sumário,I,2025-09-11 16:34:41,
26,1107,Procedimentos Especiais,A,2025-09-11 16:34:41,
27,26,Procedimentos Especiais de Jurisdição Contenciosa,A,2025-09-11 16:34:41,
28,27,Anulação e Substituição de Títulos ao Portador,I,2025-09-11 16:34:41,
29,27,Apreensão e Depósito de Coisa Vendida com Reserva de Domínio,I,2025-09-11 16:34:41,
30,27,Arrolamento Comum,A,2025-09-11 16:34:41,
31,27,Arrolamento Sumário,A,2025-09-11 16:34:41,
32,27,Consignação em Pagamento,A,2025-09-11 16:34:41,
34,27,Demarcação / Divisão,A,2025-09-11 16:34:41,
35,27,Depósito,I,2025-09-11 16:34:41,
37,27,Embargos de Terceiro Cível,A,2025-09-11 16:34:41,
38,27,Habilitação,A,2025-09-11 16:34:41,
39,27,Inventário,A,2025-09-11 16:34:41,
40,27,Monitória,A,2025-09-11 16:34:41,
41,27,Nunciação de Obra Nova,I,2025-09-11 16:34:41,
44,27,Prestação de Contas - Oferecidas,I,2025-09-11 16:34:41,
45,27,Ação de Exigir Contas,A,2025-09-11 16:34:41,
46,27,Restauração de Autos Cível,A,2025-09-11 16:34:41,
47,27,Ação Rescisória,A,2025-09-11 16:34:41,
48,27,Sobrepartilha,A,2025-09-11 16:34:41,
49,27,Usucapião,A,2025-09-11 16:34:41,
50,26,Procedimentos Especiais de Jurisdição Voluntária,A,2025-09-11 16:34:41,
51,50,"Abertura, Registro e Cumprimento de Testamento",A,2025-09-11 16:34:41,
52,50,Alienação Judicial de Bens,A,2025-09-11 16:34:41,
53,50,Arrecadação das Coisas Vagas,A,2025-09-11 16:34:41,
54,50,Confirmação de Testamento,A,2025-09-11 16:34:41,
55,50,Declaração de Ausência,A,2025-09-11 16:34:41,
56,50,Especialização de Hipoteca Legal,I,2025-09-11 16:34:41,
57,50,Herança Jacente,A,2025-09-11 16:34:41,
