cod_item,cod_item_pai,nome,situacao,dat_versao,dsc_caminho_completo
1,,Magistrado,A,2025-09-11 16:34:41,
3,1,Decisão,A,2025-09-11 16:34:41,
7,3,Conversão,A,2025-09-11 16:34:41,
11,3,Declaração,A,2025-09-11 16:34:41,
14,,Serventuário,A,2025-09-11 16:34:41,
15,14,Contador,A,2025-09-11 16:34:41,
16,15,Cálculo,A,2025-09-11 16:34:41,
18,14,Distribuidor,A,2025-09-11 16:34:41,
22,18,Baixa Definitiva,A,2025-09-11 16:34:41,
25,3,Suspensão ou Sobrestamento,A,2025-09-11 16:34:41,
26,18,Distribuição,A,2025-09-11 16:34:41,
36,18,Redistribuição,A,2025-09-11 16:34:41,
48,14,Escrivão/Diretor de Secretaria/Secretário Jurídico,A,2025-09-11 16:34:41,
51,48,Conclusão,A,2025-09-11 16:34:41,
56,3,Requisição de informações,I,2025-09-11 16:34:41,
60,48,Expedição de documento,A,2025-09-11 16:34:41,
63,3,Ordenação de entrega de autos,I,2025-09-11 16:34:41,
67,48,Juntada,A,2025-09-11 16:34:41,
83,3,Cancelamento da distribuição,A,2025-09-11 16:34:41,
85,67,Petição,A,2025-09-11 16:34:41,
92,48,Publicação,A,2025-09-11 16:34:41,
104,14,Oficial de Justiça,A,2025-09-11 16:34:41,
105,104,Devolução,A,2025-09-11 16:34:41,
106,105,Mandado,A,2025-09-11 16:34:41,
108,3,Decretação de Prisão Criminal,A,2025-09-11 16:34:41,
112,105,Ofício,A,2025-09-11 16:34:41,
113,3,Decretação de Prisão Civil,A,2025-09-11 16:34:41,
115,104,Recebimento,A,2025-09-11 16:34:41,
117,3,Decretação de Internação,A,2025-09-11 16:34:41,
118,48,Protocolo de Petição,A,2025-09-11 16:34:41,
122,3,Desacolhimento de Prisão,A,2025-09-11 16:34:41,
123,48,Remessa,A,2025-09-11 16:34:41,
128,157,Prisão,A,2025-09-11 16:34:41,
132,48,Recebimento,A,2025-09-11 16:34:41,
133,3,Acolhimento de exceção,A,2025-09-11 16:34:41,
135,48,Apensamento,A,2025-09-11 16:34:41,
137,48,Desapensamento,A,2025-09-11 16:34:41,
138,3,Rejeição,A,2025-09-11 16:34:41,
146,3,Não-Homologação de prisão em flagrante,I,2025-09-11 16:34:41,
151,3,Concessão de efeito suspensivo,A,2025-09-11 16:34:41,
157,3,Revogação,A,2025-09-11 16:34:41,
160,3,Recebimento,A,2025-09-11 16:34:41,
163,3,Não-Recebimento,A,2025-09-11 16:34:41,
172,3,Deliberação da partilha,A,2025-09-11 16:34:41,
175,378,Prisão em flagrante,I,2025-09-11 16:34:41,
190,3,Reforma de decisão anterior,A,2025-09-11 16:34:41,
193,1,Julgamento,A,2025-09-11 16:34:41,
196,385,Extinção da execução ou do cumprimento da sentença,A,2025-09-11 16:34:41,
198,385,Acolhimento de Embargos de Declaração,A,2025-09-11 16:34:41,
200,385,Não-Acolhimento de Embargos de Declaração,A,2025-09-11 16:34:41,
202,385,Decretação de falência,A,2025-09-11 16:34:41,
206,3,Admissão,A,2025-09-11 16:34:41,
207,3,Não-Admissão,A,2025-09-11 16:34:41,
208,385,Não-Decretação de Falência,A,2025-09-11 16:34:41,
210,385,Concessão,A,2025-09-11 16:34:41,
212,385,Denegação,A,2025-09-11 16:34:41,
214,385,Concessão em Parte,A,2025-09-11 16:34:41,
218,193,Sem Resolução de Mérito,A,2025-09-11 16:34:41,
219,385,Procedência,A,2025-09-11 16:34:41,
220,385,Improcedência,A,2025-09-11 16:34:41,
221,385,Procedência em Parte,A,2025-09-11 16:34:41,
228,218,Arquivamento,A,2025-09-11 16:34:41,
230,218,Recurso prejudicado,A,2025-09-11 16:34:41,
235,218,Não Conhecimento de recurso,A,2025-09-11 16:34:41,
236,218,Negação de Seguimento,A,2025-09-11 16:34:41,
237,385,Provimento,A,2025-09-11 16:34:41,
238,385,Provimento em Parte,A,2025-09-11 16:34:41,
239,385,Não-Provimento,A,2025-09-11 16:34:41,
240,385,Conhecimento em Parte e Provimento ou Concessão,A,2025-09-11 16:34:41,
241,385,Conhecimento em Parte e Provimento em Parte ou Concessão em Parte,A,2025-09-11 16:34:41,
242,385,Conhecimento em Parte e Não-Provimento ou Denegação,A,2025-09-11 16:34:41,
244,218,Conversão de Agravo de Instrumento em Agravo Retido,I,2025-09-11 16:34:41,
245,861,Provisório,A,2025-09-11 16:34:41,
246,861,Definitivo,A,2025-09-11 16:34:41,
263,25,Réu revel citado por edital ,A,2025-09-11 16:34:41,
264,25,Suspensão Condicional do Processo,A,2025-09-11 16:34:41,
265,25,Recurso Extraordinário com repercussão geral,A,2025-09-11 16:34:41,
266,7,Julgamento em Diligência,I,2025-09-11 16:34:41,
268,25,Morte ou perda da capacidade,A,2025-09-11 16:34:41,
269,11,Impedimento ou Suspeição,I,2025-09-11 16:34:41,
270,25,Convenção das Partes,I,2025-09-11 16:34:41,
271,25,"Exceção de Incompetência, suspeição ou Impedimento",I,2025-09-11 16:34:41,
272,25,"A depender do julgamento de outra causa, de outro juízo ou declaração incidente",A,2025-09-11 16:34:41,
275,25,Força maior,A,2025-09-11 16:34:41,
276,25,Execução frustrada,A,2025-09-11 16:34:41,
277,25,Convenção das Partes para Satisfação Voluntária da Obrigação em Execução ou Cumprimento de Sentença,A,2025-09-11 16:34:41,
278,25,Recebimento de Embargos à Execução,I,2025-09-11 16:34:41,
279,25,Incidente de Insanidade Mental,I,2025-09-11 16:34:41,
311,48,Leilão ou Praça,A,2025-09-11 16:34:41,
313,48,Sessão do Tribunal do Júri,A,2025-09-11 16:34:41,
332,817,Tutela Provisória,A,2025-09-11 16:34:41,
334,968,Gratuidade da Justiça,A,2025-09-11 16:34:41,
335,133,de pré-executividade,A,2025-09-11 16:34:41,
339,817,Liminar,A,2025-09-11 16:34:41,
347,157,Tutela Provisória,A,2025-09-11 16:34:41,
348,157,Liminar,A,2025-09-11 16:34:41,
349,157,Gratuidade de Justiça,A,2025-09-11 16:34:41,
352,108,Temporária,A,2025-09-11 16:34:41,
353,108,Preventiva,A,2025-09-11 16:34:41,
354,113,Alimentos,A,2025-09-11 16:34:41,
355,113,Depositário infiel,I,2025-09-11 16:34:41,
357,122,Temporária,A,2025-09-11 16:34:41,
358,122,Preventiva,A,2025-09-11 16:34:41,
371,133,Incompetência,A,2025-09-11 16:34:41,
373,138,Exceção de Impedimento ou Suspeição,A,2025-09-11 16:34:41,
374,138,Exceção de incompetência,A,2025-09-11 16:34:41,
377,378,Acordo em execução ou em cumprimento de sentença,I,2025-09-11 16:34:41,
378,3,Homologação,A,2025-09-11 16:34:41,
381,151,Recurso,A,2025-09-11 16:34:41,
383,151,Impugnação ao cumprimento de sentença,A,2025-09-11 16:34:41,
385,193,Com Resolução do Mérito,A,2025-09-11 16:34:41,
388,160,Aditamento da denúncia,A,2025-09-11 16:34:41,
389,160,Aditamento da queixa,A,2025-09-11 16:34:41,
390,160,Aditamento do libelo,I,2025-09-11 16:34:41,
391,160,Denúncia,A,2025-09-11 16:34:41,
392,160,Libelo,I,2025-09-11 16:34:41,
393,160,Queixa,A,2025-09-11 16:34:41,
394,1060,Com efeito suspensivo,A,2025-09-11 16:34:41,
399,138,Aditamento da denúncia,A,2025-09-11 16:34:41,
400,138,Aditamento da queixa,A,2025-09-11 16:34:41,
402,138,Denúncia,A,2025-09-11 16:34:41,
404,138,Queixa,A,2025-09-11 16:34:41,
417,48,Inclusão em pauta,I,2025-09-11 16:34:41,
429,206,Recurso extraordinário,A,2025-09-11 16:34:41,
430,206,Recurso especial,A,2025-09-11 16:34:41,
431,206,Recurso de revista,A,2025-09-11 16:34:41,
432,207,Recurso Extraordinário,A,2025-09-11 16:34:41,
433,207,Recurso Especial,A,2025-09-11 16:34:41,
434,207,Recurso de Revista,A,2025-09-11 16:34:41,
442,210,Segurança,A,2025-09-11 16:34:41,
443,210,Habeas corpus,A,2025-09-11 16:34:41,
444,210,Habeas data,A,2025-09-11 16:34:41,
445,210,Mandado de injunção,A,2025-09-11 16:34:41,
446,212,Segurança,A,2025-09-11 16:34:41,
447,212,Habeas corpus,A,2025-09-11 16:34:41,
448,212,Habeas data,A,2025-09-11 16:34:41,
449,212,Mandado de injunção,A,2025-09-11 16:34:41,
450,214,Segurança,A,2025-09-11 16:34:41,
451,214,Habeas corpus,A,2025-09-11 16:34:41,
452,214,Habeas data,A,2025-09-11 16:34:41,
453,214,Mandado de injunção,A,2025-09-11 16:34:41,
454,456,Indeferimento da petição inicial,A,2025-09-11 16:34:41,
455,385,Renúncia ao direito pelo autor,A,2025-09-11 16:34:41,
456,218,Extinção,A,2025-09-11 16:34:41,
457,456,Paralisação por negligência das partes,A,2025-09-11 16:34:41,
458,456,Abandono da causa,A,2025-09-11 16:34:41,
459,456,Ausência de pressupostos processuais,A,2025-09-11 16:34:41,
460,456,"Perempção, litispendência ou coisa julgada",A,2025-09-11 16:34:41,
461,456,Ausência das condições da ação,A,2025-09-11 16:34:41,
462,456,Convenção de arbitragem,A,2025-09-11 16:34:41,
463,456,Desistência,A,2025-09-11 16:34:41,
464,456,Ação intransmissível,A,2025-09-11 16:34:41,
465,456,Confusão entre autor e réu,I,2025-09-11 16:34:41,
466,385,Homologação de Transação,A,2025-09-11 16:34:41,
471,385,Pronúncia de Decadência ou Prescrição,A,2025-09-11 16:34:41,
472,228,"Sumaríssimo (art. 852-B, § 1º/CLT)",A,2025-09-11 16:34:41,
473,228,Ausência do Reclamante,A,2025-09-11 16:34:41,
478,16,Cálculo de Liquidação,A,2025-09-11 16:34:41,
479,16,Custas,A,2025-09-11 16:34:41,
480,16,Atualização de conta,A,2025-09-11 16:34:41,
481,16,Tributos,A,2025-09-11 16:34:41,
