comarca_id,comarca,tribunal,estado_id,estado,n_municipios,entrancia,juizes
1,acrelandia,TJAC,1.0,AC,1.0,,
2,assis brasil,TJAC,1.0,AC,1.0,,
3,brasileia,TJAC,1.0,AC,1.0,,
4,bujari,TJAC,1.0,AC,1.0,,
5,capixaba,TJAC,1.0,AC,1.0,,
6,cruzeiro do sul,TJAC,1.0,AC,1.0,,
7,epitaciolandia,TJAC,1.0,AC,1.0,,
8,feijo,TJAC,1.0,AC,1.0,,
9,jordao,TJAC,1.0,AC,1.0,,
10,mancio lima,TJAC,1.0,AC,1.0,,
11,manoel urbano,TJAC,1.0,AC,1.0,,
12,marechal thaumaturgo,TJAC,1.0,AC,1.0,,
13,placido de castro,TJAC,1.0,AC,1.0,,
14,porto acre,TJAC,1.0,AC,1.0,,
15,porto walter,TJAC,1.0,AC,1.0,,
16,rio branco,TJAC,1.0,AC,1.0,,
17,rodrigues alves,TJAC,1.0,AC,1.0,,
18,santa rosa do purus,TJAC,1.0,AC,1.0,,
19,sena madureira,TJAC,1.0,AC,1.0,,
20,senador guiomard,TJAC,1.0,AC,1.0,,
21,tarauaca,TJAC,1.0,AC,1.0,,
22,xapuri,TJAC,1.0,AC,1.0,,
23,acailandia,TJMA,10.0,MA,2.0,,
24,alcantara,TJMA,10.0,MA,1.0,,
25,alto parnaiba,TJMA,10.0,MA,1.0,,
26,amarante do maranhao,TJMA,10.0,MA,1.0,,
27,anajatuba,TJMA,10.0,MA,1.0,,
28,araioses,TJMA,10.0,MA,2.0,,
29,arame,TJMA,10.0,MA,1.0,,
30,arari,TJMA,10.0,MA,1.0,,
31,bacabal,TJMA,10.0,MA,2.0,,
32,bacuri,TJMA,10.0,MA,1.0,,
33,balsas,TJMA,10.0,MA,2.0,,
34,barao de grajau,TJMA,10.0,MA,1.0,,
35,barra do corda,TJMA,10.0,MA,2.0,,
36,barreirinhas,TJMA,10.0,MA,1.0,,
37,bequimao,TJMA,10.0,MA,2.0,,
38,bom jardim,TJMA,10.0,MA,2.0,,
