diario_id,diario,tribunal,tribunal_id,estado,estado_id
1,DJAC,TJAC,1.0,AC,1.0
2,DJAL,TJAL,2.0,AL,2.0
3,DJAP,TJAP,3.0,AP,3.0
4,DJAM,TJAM,4.0,AM,4.0
5,DJBA,TJBA,5.0,BA,5.0
6,DJCE,TJCE,6.0,CE,6.0
7,DJDF,TJDF,7.0,DF,7.0
8,DJES,TJES,8.0,ES,8.0
9,DJGO,TJGO,9.0,GO,9.0
10,DJMA,TJMA,10.0,MA,10.0
11,DJMT,TJMT,11.0,MT,11.0
12,DJMS,TJMS,12.0,MS,12.0
13,DJMG,TJMG,13.0,MG,13.0
14,DJPA,TJPA,14.0,PA,14.0
15,DJPB,TJPB,15.0,PB,15.0
16,DJPR,TJPR,16.0,PR,16.0
17,DJPE,TJPE,17.0,PE,17.0
18,DJPI,TJPI,18.0,PI,18.0
19,DJRJ,TJRJ,19.0,RJ,19.0
20,DJRN,TJRN,20.0,RN,20.0
21,DJRS,TJRS,21.0,RS,21.0
22,DJRO,TJRO,22.0,RO,22.0
23,DJRR,TJRR,23.0,RR,23.0
24,DJSC,TJSC,24.0,SC,24.0
25,DJSE,TJSE,25.0,SE,25.0
26,DJTO,TJTO,27.0,TO,27.0
27,TSE,TSE,63.0,,
28,TRE-AC,TRE-AC,64.0,AC,1.0
29,TRE-AL,TRE-AL,65.0,AL,2.0
30,TRE-AP,TRE-AP,66.0,AP,3.0
31,TRE-AM,TRE-AM,67.0,AM,4.0
32,TRE-BA,TRE-BA,68.0,BA,5.0
33,TRE-CE,TRE-CE,69.0,CE,6.0
34,TRE-DF,TRE-DF,70.0,DF,7.0
35,TRE-ES,TRE-ES,71.0,ES,8.0
36,TRE-GO,TRE-GO,72.0,GO,9.0
37,TRE-MA,TRE-MA,73.0,MA,10.0
38,TRE-MT,TRE-MT,74.0,MT,11.0
39,TRE-MS,TRE-MS,75.0,MS,12.0
40,TRE-MG,TRE-MG,76.0,MG,13.0
41,TRE-PA,TRE-PA,77.0,PA,14.0
42,TRE-PB,TRE-PB,78.0,PB,15.0
43,TRE-PR,TRE-PR,79.0,PR,16.0
44,TRE-PE,TRE-PE,80.0,PE,17.0
45,TRE-PI,TRE-PI,81.0,PI,18.0
46,TRE-RJ,TRE-RJ,82.0,RJ,19.0
47,TRE-RN,TRE-RN,83.0,RN,20.0
48,TRE-RS,TRE-RS,84.0,RS,21.0
49,TRE-RO,TRE-RO,85.0,RO,22.0
50,TRE-RR,TRE-RR,86.0,RR,23.0
51,TRE-SC,TRE-SC,87.0,SC,24.0
52,TRE-SE,TRE-SE,88.0,SE,25.0
53,TRE-SP,TRE-SP,89.0,SP,26.0
54,TRE-TO,TRE-TO,90.0,TO,27.0
55,MP-MG,,,,
56,TRF-1,TRF-1,,,
57,TRF-2,TRF-2,,,
58,TRF-3,TRF-3,,,
59,TRF-4,TRF-4,,,
60,TRF-5,TRF-5,,,
