foro,ibge7,oooo,municipio_id,tribunal,foro_name
4025101,3304557.0,5101,60011.0,TRF2,RIO DE JANEIRO
4047100,4314902.0,7100,88013.0,TRF4,PORTO ALEGRE
4047000,4106902.0,7000,75353.0,TRF4,CURITIBA
4036301,3550308.0,6301,71072.0,TRF3,SAO PAULO
4013800,3106200.0,3800,41238.0,TRF1,BELO HORIZONTE
4013400,5300108.0,3400,97012.0,TRF1,BRASILIA
4013700,2111300.0,3700,9210.0,TRF1,SAO LUIS
4013300,2927408.0,3300,38490.0,TRF1,SALVADOR
4058300,2611606.0,8300,25313.0,TRF5,RECIFE
4013500,5208707.0,3500,93734.0,TRF1,GOIANIA
4036182,3550308.0,6182,71072.0,TRF3,CAPITAL FISCAL
4058100,2304400.0,8100,13897.0,TRF5,FORTALEZA
4025151,3304557.0,5151,60011.0,TRF2,RIO DE JANEIRO
4013900,1501402.0,3900,4278.0,TRF1,BELEM
4047200,4205407.0,7200,81051.0,TRF4,FLORIANOPOLIS
4025001,3205309.0,5001,57053.0,TRF2,VITORIA
4058400,2408102.0,8400,17612.0,TRF5,NATAL
4058013,2704302.0,8013,27855.0,TRF5,MACEIO
4047108,4313409.0,7108,87718.0,TRF4,NOVO HAMBURGO
4014000,2211001.0,4000,12190.0,TRF1,TERESINA
4047001,4113700.0,7001,76678.0,TRF4,LONDRINA
4058200,2507507.0,8200,20516.0,TRF5,JOAO PESSOA
4047205,4202404.0,7205,80470.0,TRF4,BLUMENAU
4047107,4305108.0,7107,85995.0,TRF4,CAXIAS DO SUL
4049999,4314902.0,9999,88013.0,TRF4,PORTO ALEGRE
4047003,4115200.0,7003,76910.0,TRF4,MARINGA
4013200,1302603.0,3200,2550.0,TRF1,MANAUS
4013600,5103403.0,3600,90670.0,TRF1,CUIABA
4047002,4108304.0,7002,75639.0,TRF4,FOZ DO IGUACU
4047112,4304606.0,7112,85898.0,TRF4,CANOAS
4047201,,7201,,TRF4,JOINVILE
4036100,3550308.0,6100,71072.0,TRF3,SUBSECAO JUDICIARIA DE SAO PAULO VARAS CIVEIS
4047208,4208203.0,7208,81612.0,TRF4,ITAJAI
4058500,2800308.0,8500,31054.0,TRF5,ARACAJU
4013803,3170206.0,3803,54038.0,TRF1,UBERLANDIA
4047204,4204608.0,7204,80896.0,TRF4,CRICIUMA
4047009,4119905.0,7009,77771.0,TRF4,PONTA GROSSA
4013801,3136702.0,3801,47333.0,TRF1,JUIZ DE FORA
4058102,2307304.0,8102,14478.0,TRF5,JUAZEIRO DO NORTE
4014100,1100205.0,4100,35.0,TRF1,PORTO VELHO
4047102,4316907.0,7102,88412.0,TRF4,SANTA MARIA
4058103,2312908.0,8103,15598.0,TRF5,SOBRAL
4047110,4314407.0,7110,87912.0,TRF4,PELOTAS
4036105,3509502.0,6105,62910.0,TRF3,CAMPINAS
4058201,2504009.0,8201,19810.0,TRF5,CAMPINA GRANDE
4058000,2704302.0,8000,27855.0,TRF5,MACEIO
4047005,4104808.0,7005,74934.0,TRF4,CASCAVEL
4047104,4314100.0,7104,87858.0,TRF4,PASSO FUNDO
4047202,4204202.0,7202,80810.0,TRF4,CHAPECO
4013304,2910800.0,3304,35157.0,TRF1,FEIRA DE SANTANA
4036302,3543402.0,6302,69698.0,TRF3,RIBEIRAO PRETO
4014300,1721000.0,4300,73440.0,TRF1,PALMAS
4013100,1600303.0,3100,6050.0,TRF1,MACAPA
4058401,2408003.0,8401,17590.0,TRF5,MOSSORO
4036183,3550308.0,6183,71072.0,TRF3,CAPITAL PREVIDENCIARIO
4047122,4309209.0,7122,86835.0,TRF4,GRAVATAI
4025118,3301702.0,5118,58335.0,TRF2,DUQUE DE CAXIAS
4013000,1200401.0,3000,1392.0,TRF1,RIO BRANCO
4025102,3303302.0,5102,58653.0,TRF2,NITEROI
