ibge7,foro,oooo,alternative_name,note
0,ANTONIO MELO MARTINS,7,,
0,CANDIDO COLOMBO CERQUEIRA,17,,
0,HELLADIO TOLEDO MONTEIRO,20,,
0,JOSE FERNANDES DE ANDRADE,4,GAMA,
0,JOSE MANOEL COELHO,3,,
0,JUSCELINO JOSE RIBEIRO,6,,
0,RAIMUNDO MACEDO,9,,
0,MARIA THEREZA DE ANDRADE BRAGA HAYNES,14,,
0,LUCIO BATISTA ARANTES,5,,
0,MAURO RENAN BITTENCOURT,8,,
0,JOSE DILERMANDO MEIRELES,10,,
0,VALTENIO MENDES CARDOSO,19,,
0,HUGO AULER,11,,
0,EVERARDS MOTA E MATOS,12,,
0,MARCIO RIBEIRO,2,,
1302603,MANAUS,1,,
1302603,MANAUS,30,,
1302603,AZARIAS MENESCAL,20,,
1302603,LUCIO F DE RESENDE,92,,
1302603,MARIO VERCOSA,15,,
1302603,ANORLDO PERES,22,,
1302603,UNINILTON LINS,16,,
5300108,JOSE JULIO LEAL FAGUNDES,16,,
5300108,MILTON SEBASTIAO BARBOSA,1,,
5300108,JOAQUIM SOUSA NETO,18,,
5300108,JULIO FABBRINI MIRABETE,15,,
3550308,CENTRAL CIVEL,100,,
3550308,EXECUCOES FISCAIS MUNICIPAIS,90,,
3550308,CENTRAL FAZENDA PUBLICA,53,,
3550308,SAO PAULO,0,,
3550308,II SANTO AMARO,2,,
3550308,I SANTANA,1,,
3550308,VII ITAQUERA,7,,
3550308,III JABAQUARA,3,,
3550308,CENTRAL JUIZADOS ESPECIAIS CIVEIS,16,,
3550308,V SAO MIGUEL PAULISTA,5,,
3550308,IV LAPA,4,,
3550308,VIII TATUAPE,8,,
3550308,XI PINHEIROS,11,,
3550308,VI PENHA DE FRANCA,6,,
3550308,IX VILA PRUDENTE,9,,
3550308,XII NOSSA SENHORA DO O,20,,
3550308,XV BUTANTA,704,,
3550308,X IPIRANGA,10,,
3550308,EXECUCOES FISCAIS ESTADUAIS,14,,
3550308,SAO PAULO,41,,
3550308,SAO PAULO,900,,
3550308,CENTRAL CRIMINAL JURI,52,,
3550308,SAO PAULO,9003,,
3550308,SAO PAULO,9004,,
3550308,SAO PAULO,9005,,
3550308,SAO PAULO,9002,,
3304557,CAPITAL,1,,
3304557,JACAREPAGUA,203,,
3304557,BANGU,204,,
3304557,CAMPO GRANDE,205,,
3304557,BARRA DA TIJUCA,209,,
3304557,LEOPOLDINA,210,,
3304557,MADUREIRA,202,,
3304557,MEIER,208,,
3304557,SANTA CRUZ,206,,
3304557,PAVUNA,211,,
3304557,ILHA DO GOVERNADOR,207,,
3303906,PETROPOLIS,42,,
3303906,ITAIPAVA,79,,
3303302,NITEROI,2,,
3303302,OCEANICA,212,,
3302502,MAGE,29,,
3302502,INHOMIRIM,75,,
2507507,JOAO PESSOA,1,,
2507507,JOAO PESSOA,2,,
2507507,MANGABEIRA,3,,
3106200,BELO HORIZONTE,24,,
3106200,BARREIRO,24,,NB: SAME CODE AS BELO HORIZONTE
4205407,CONTINENTE,82,,
4205407,NORTE DA ILHA,90,,
4205407,EDUARDO LUZ,91,,
4314902,CENTRAL,1,,
4314902,4O DISTRITO,1001,,
4314902,ALTO PETROPOLIS,2001,,
4314902,PARTENON,3001,,
4314902,RESTINGA,4001,,
4314902,SARANDI,5001,,
4314902,TRISTEZA,6001,,
3304904,SAO GONCALO,4,,
3304904,ALCANTARA,87,,
