correct,estado,wrong
oliveira de fatima,TO,oliveira do tocantins
darcinopolis,TO,darcynopolis
nova santa rita,PI,petronio portela
itamogi,MG,itamoji
palmeiras do tocantins,TO,mosquito
chapada de areia,TO,chapada da areia
sigefredo pacheco,PI,singefredo pacheco
parau,RN,espirito santo do oeste
sao jose do inhacora,RS,sao joao do inhacora
bandeirantes do tocantins,TO,bandeirante
figueiropolis doeste,MT,figueiropoles doeste
vereda,BA,veredas
figueiropolis doeste,MT,figueiropolis d oeste
serra caiada,RN,presidente juscelino
conquista doeste,MT,conquista d oeste
gloria doeste,MT,gloria d oeste
boa saude,RN,januario cicco
teresina de goias,GO,terezinha de goias
tapurah,MT,tapura
brochier,RS,brochier do marata
lambari doeste,MT,lambari d oeste
vila bela da santissima trindade,MT,vila bela stssma trindade
alto boa vista,MT,alto da boa vista
lajeado grande,SC,lageado grande
porto esperidiao,MT,porto esperediao
sao valerio da natividade,TO,sao valerio do tocantins
sao joao da baliza,RR,sao joao do baliza
assu,RN,acu
itabirinha,MG,itabirinha de mantena
palmas de monte alto,BA,palmas do monte alto
bandeirantes do tocantins,TO,bandeirante do tocantins
erico cardoso,BA,agua quente
pindorama do tocantins,TO,pindorama de goias
venhaver,RN,venha ver
sao jose dos quatro marcos,MT,quatro marcos
florinea,SP,florinia
deputado irapuan pinheiro,CE,dep irapuan pinheiro
sao jose do brejo do cruz,PB,sao jose do brejo cruz
conceicao das pedras,MG,conceicao da pedra
granjeiro,CE,grangeiro
divinopolis do tocantins,TO,divinopolis
santa rosa do purus,AC,santa rosa
pindai,BA,ouro branco
santa cruz cabralia,BA,santa cruz de cabralia
pedra branca do amapari,AP,agua branca do amapari
mirassol doeste,MT,mirassol d oeste
sao miguel do gostoso,RN,sao miguel de touros
barauna,PB,baraunas
conselheiro mairinck,PR,conselheiro mayrinck
catunda,CE,senador catunda
alto paraiso,PR,vila alta
sao jose da lapa,MG,sao jose do lapa
valparaiso de goias,GO,valparaizo
pau darco,TO,pau d arco
couto de magalhaes,TO,couto magalhaes
sao valerio da natividade,TO,sao valerio
itaguaje,PR,itaguage
sao sebastiao de lagoa de roca,PB,sao seb de lagoa de roca
joca claudino,PB,santarem
fernando pedroza,RN,fernando pedrosa
santa cecilia,PB,santa cecilia de umbuzeiro
caem,BA,anselmo da fonseca
piumhi,MG,pium i
pau darco do piaui,PI,pau d arco do piaui
olho dagua do piaui,PI,olho d agua do piaui
barra dalcantara,PI,barra d alcantara
santana do itarare,PR,santa ana do itarare
juti,MS,juty
monte santo do tocantins,TO,monte santo
tejucuoca,CE,tejussuoca
