estado,wrong,correct
TO,OLIVEIRA DO TOCANTINS,OLIVEIRA DE FATIMA
TO,DARCYNOPOLIS,DARCINOPOLIS
PI,PETRONIO PORTELA,NOVA SANTA RITA
MG,ITAMOJI,ITAMOGI
TO,MOSQUITO,PALMEIRAS DO TOCANTINS
TO,TABOCAO,FORTALEZA DO TABOCAO
TO,CHAPADA DA AREIA,CHAPADA DE AREIA
PI,SINGEFREDO PACHECO,SIGEFREDO PACHECO
RN,ESPIRITO SANTO DO OESTE,PARAU
RS,SAO JOAO DO INHACORA,SAO JOSE DO INHACORA
TO,BANDEIRANTE,BANDEIRANTES DO TOCANTINS
RN,AREZ,ARES
MT,FIGUEIROPOLES DOESTE,FIGUEIROPOLIS DOESTE
BA,VEREDAS,VEREDA
RN,PRESIDENTE JUSCELINO,SERRA CAIADA
RN,JANUARIO CICCO,BOA SAUDE
GO,TEREZINHA DE GOIAS,TERESINA DE GOIAS
MT,TAPURA,TAPURAH
RS,BROCHIER DO MARATA,BROCHIER
MT,VILA BELA STSSMA TRINDADE,VILA BELA DA SANTISSIMA TRINDADE
MT,ALTO DA BOA VISTA,ALTO BOA VISTA
SC,LAGEADO GRANDE,LAJEADO GRANDE
MT,PORTO ESPEREDIAO,PORTO ESPERIDIAO
MT,FIGUEIROPOLIS D OESTE,FIGUEIROPOLIS DOESTE
TO,SAO VALERIO DO TOCANTINS,SAO VALERIO DA NATIVIDADE
RR,SAO JOAO DO BALIZA,SAO JOAO DA BALIZA
RN,ACU,ASSU
MG,ITABIRINHA DE MANTENA,ITABIRINHA
BA,PALMAS DO MONTE ALTO,PALMAS DE MONTE ALTO
TO,BANDEIRANTE DO TOCANTINS,BANDEIRANTES DO TOCANTINS
BA,AGUA QUENTE,ERICO CARDOSO
TO,PINDORAMA DE GOIAS,PINDORAMA DO TOCANTINS
RN,VENHA VER,VENHA-VER
MT,QUATRO MARCOS,SAO JOSE DOS QUATRO MARCOS
MT,CONQUISTA D OESTE,CONQUISTA DOESTE
SP,FLORINIA,FLORINEA
MT,GLORIA D OESTE,GLORIA DOESTE
CE,DEP IRAPUAN PINHEIRO,DEPUTADO IRAPUAN PINHEIRO
PB,SAO JOSE DO BREJO CRUZ,SAO JOSE DO BREJO DO CRUZ
MG,CONCEICAO DA PEDRA,CONCEICAO DAS PEDRAS
CE,GRANGEIRO,GRANJEIRO
TO,DIVINOPOLIS,DIVINOPOLIS DO TOCANTINS
AC,SANTA ROSA,SANTA ROSA DO PURUS
MT,LAMBARI D OESTE,LAMBARI DOESTE
BA,OURO BRANCO,PINDAI
BA,SANTA CRUZ DE CABRALIA,SANTA CRUZ CABRALIA
AP,AGUA BRANCA DO AMAPARI,PEDRA BRANCA DO AMAPARI
RN,SAO MIGUEL DE TOUROS,SAO MIGUEL DO GOSTOSO
PB,BARAUNAS,BARAUNA
PR,CONSELHEIRO MAYRINCK,CONSELHEIRO MAIRINCK
CE,SENADOR CATUNDA,CATUNDA
PR,VILA ALTA,ALTO PARAISO
MG,SAO JOSE DO LAPA,SAO JOSE DA LAPA
GO,VALPARAIZO,VALPARAISO DE GOIAS
PR,ITAGUAGE,ITAGUAJE
PB,SAO SEB DE LAGOA DE ROCA,SAO SEBASTIAO DE LAGOA DE ROCA
PB,SANTAREM,JOCA CLAUDINO
RN,FERNANDO PEDROSA,FERNANDO PEDROZA
PB,SANTA CECILIA DE UMBUZEIRO,SANTA CECILIA
BA,ANSELMO DA FONSECA,CAEM
MG,PIUM I,PIUMHI
MS,JUTY,JUTI
PR,SANTA ANA DO ITARARE,SANTANA DO ITARARE
TO,MONTE SANTO,MONTE SANTO DO TOCANTINS
TO,LAGEADO,LAJEADO
MA,ITAPECURU-MIRIM,ITAPECURU MIRIM
CE,TEJUSSUOCA,TEJUCUOCA
MA,APICUM ACU,APICUM-ACU
