estado,municipio,municipio_id
,,-3.0
,,-1.0
RO,GUAJARA-MIRIM,19.0
RO,PORTO VELHO,35.0
RO,JI-PARANA,51.0
RO,ARIQUEMES,78.0
RO,CACOAL,94.0
RO,PIMENTA BUENO,116.0
RO,VILHENA,132.0
RO,JARU,159.0
RO,OURO PRETO DO OESTE,175.0
RO,PRESIDENTE MEDICI,191.0
RO,COSTA MARQUES,213.0
RO,COLORADO DO OESTE,230.0
RO,ESPIGAO DO OESTE,256.0
RO,CEREJEIRAS,272.0
RO,ROLIM DE MOURA,299.0
RO,ALTA FLORESTA DO OESTE,310.0
RO,ALVORADA DO OESTE,337.0
RO,SANTA LUZIA DO OESTE,353.0
RO,NOVA BRASILANDIA DO OESTE,370.0
RO,MACHADINHO DO OESTE,396.0
RO,SAO MIGUEL DO GUAPORE,418.0
RO,NOVA MAMORE,434.0
RO,CABIXI,450.0
RO,CANDEIAS DO JAMARI,477.0
RO,ITAPUA DO OESTE,493.0
RO,NOVO HORIZONTE DO OESTE,515.0
RO,CASTANHEIRAS,531.0
RO,VALE DO PARAISO,558.0
RO,URUPA,566.0
RO,MIRANTE DA SERRA,574.0
RO,SERINGUEIRAS,582.0
RO,THEOBROMA,590.0
RO,MINISTRO ANDREAZZA,604.0
RO,GOVERNADOR JORGE TEIXEIRA,612.0
RO,CACAULANDIA,620.0
RO,ALTO PARAISO,639.0
RO,RIO CRESPO,647.0
RO,CORUMBIARA,655.0
RO,MONTE NEGRO,663.0
RO,CAMPO NOVO DE RONDONIA,671.0
RO,CUJUBIM,680.0
RO,VALE DO ANARI,698.0
RO,PARECIS,701.0
RO,SAO FELIPE D OESTE,710.0
RO,PRIMAVERA DE RONDONIA,728.0
RO,ALTO ALEGRE DOS PARECIS,736.0
RO,NOVA UNIAO,744.0
RO,TEIXEIROPOLIS,752.0
RO,BURITIS,779.0
RO,PIMENTEIRAS DO OESTE,787.0
RO,SAO FRANCISCO DO GUAPORE,795.0
RO,CHUPINGUAIA,809.0
AC,BUJARI,1007.0
AC,CAPIXABA,1015.0
AC,PORTO ACRE,1023.0
AC,SANTA ROSA DO PURUS,1031.0
AC,MARECHAL THAUMATURGO,1040.0
AC,BRASILEIA,1058.0
AC,PORTO WALTER,1066.0
AC,CRUZEIRO DO SUL,1074.0
AC,RODRIGUES ALVES,1082.0
AC,MANCIO LIMA,1090.0
AC,JORDAO,1104.0
AC,EPITACIOLANDIA,1112.0
AC,ACRELANDIA,1120.0
AC,FEIJO,1139.0
AC,RIO BRANCO,1392.0
AC,SENA MADUREIRA,1457.0
AC,TARAUACA,1473.0
AC,XAPURI,1490.0
AC,PLACIDO DE CASTRO,1511.0
AC,SENADOR GUIOMARD,1538.0
AC,MANOEL URBANO,1554.0
AC,ASSIS BRASIL,1570.0
AM,APUI,2003.0
AM,NOVO AIRAO,2011.0
AM,GUAJARA,2020.0
AM,ANORI,2038.0
AM,CAREIRO DA VARZEA,2046.0
AM,ATALAIA DO NORTE,2054.0
AM,AUTAZES,2070.0
AM,BARCELOS,2097.0
AM,BARREIRINHA,2119.0
AM,BENJAMIN CONSTANT,2135.0
AM,BOCA DO ACRE,2151.0
AM,BORBA,2178.0
AM,CANUTAMA,2194.0
AM,CARAUARI,2216.0
AM,CAREIRO,2232.0
AM,COARI,2259.0
AM,CODAJAS,2275.0
AM,EIRUNEPE,2291.0
AM,ENVIRA,2313.0
AM,FONTE BOA,2330.0
AM,HUMAITA,2356.0
AM,SANTA ISABEL DO RIO NEGRO,2372.0
AM,IPIXUNA,2399.0
AM,ITACOATIARA,2410.0
AM,ITAPIRANGA,2437.0
AM,JAPURA,2453.0
AM,JURUA,2470.0
AM,JUTAI,2496.0
AM,LABREA,2518.0
AM,MANACAPURU,2534.0
AM,MANAUS,2550.0
AM,MANICORE,2577.0
AM,MARAA,2593.0
AM,MAUES,2615.0
AM,NHAMUNDA,2631.0
AM,NOVA OLINDA DO NORTE,2658.0
AM,NOVO ARIPUANA,2674.0
AM,PARINTINS,2690.0
AM,PAUINI,2712.0
AM,SANTO ANTONIO DO ICA,2739.0
AM,SAO PAULO DE OLIVENCA,2755.0
AM,SILVES,2771.0
AM,TAPAUA,2798.0
AM,TEFE,2810.0
ZZ,TAIWAN,2828.0
AM,SAO GABRIEL DA CACHOEIRA,2836.0
AM,URUCARA,2852.0
AM,URUCURITUBA,2879.0
AM,ALVARAES,2895.0
AM,AMATURA,2917.0
AM,ANAMA,2933.0
AM,BERURI,2950.0
AM,BOA VISTA DO RAMOS,2976.0
AM,CAAPIRANGA,2992.0
RR,CAROEBE,3000.0
RR,BOA VISTA,3018.0
RR,IRACEMA,3026.0
RR,CARACARAI,3034.0
RR,AMAJARI,3042.0
RR,ALTO ALEGRE,3050.0
RR,CANTA,3069.0
RR,BONFIM,3077.0
RR,RORAINOPOLIS,3085.0
RR,MUCAJAI,3093.0
RR,UIRAMUTA,3107.0
RR,NORMANDIA,3115.0
RR,PACARAIMA,3123.0
RR,SAO JOAO DA BALIZA,3131.0
RR,SAO LUIZ,3158.0
PA,GOIANESIA DO PARA,4006.0
PA,ABAETETUBA,4014.0
PA,TAILANDIA,4022.0
PA,ACARA,4030.0
PA,BOM JESUS DO TOCANTINS,4049.0
PA,AFUA,4057.0
PA,SAO JOAO DE PIRABAS,4065.0
PA,ALENQUER,4073.0
PA,TUCUMA,4081.0
PA,ALMEIRIM,4090.0
PA,MAE DO RIO,4103.0
PA,ALTAMIRA,4111.0
PA,ELDORADO DOS CARAJAS,4120.0
PA,ANAJAS,4138.0
PA,SANTA LUZIA DO PARA,4146.0
PA,ANANINDEUA,4154.0
PA,PALESTINA DO PARA,4162.0
PA,AUGUSTO CORREA,4170.0
PA,IPIXUNA DO PARA,4189.0
PA,AVEIRO,4197.0
PA,JACAREACANGA,4200.0
PA,BAGRE,4219.0
PA,BRASIL NOVO,4227.0
PA,BAIAO,4235.0
PA,SANTA BARBARA DO PARA,4243.0
PA,BARCARENA,4251.0
PA,AGUA AZUL DO NORTE,4260.0
PA,BELEM,4278.0
PA,TRAIRAO,4286.0
PA,BENEVIDES,4294.0
PA,PAU DARCO,4308.0
PA,BONITO,4316.0
PA,ULIANOPOLIS,4324.0
PA,BRAGANCA,4332.0
PA,AURORA DO PARA,4340.0
PA,BREVES,4359.0
PA,TERRA SANTA,4367.0
PA,BUJARU,4375.0
PA,NOVO PROGRESSO,4383.0
PA,CACHOEIRA DO ARARI,4391.0
PA,VITORIA DO XINGU,4405.0
PA,CAMETA,4413.0
PA,NOVO REPARTIMENTO,4421.0
PA,CAPANEMA,4430.0
PA,BREU BRANCO,4448.0
PA,CAPITAO POCO,4456.0
PA,SAO DOMINGOS DO ARAGUAIA,4464.0
PA,CASTANHAL,4472.0
PA,NOVA ESPERANCA DO PIRIA,4480.0
PA,CHAVES,4499.0
PA,ABEL FIGUEIREDO,4502.0
PA,COLARES,4510.0
PA,CUMARU DO NORTE,4529.0
PA,CONCEICAO DO ARAGUAIA,4537.0
PA,TERRA ALTA,4545.0
PA,CURRALINHO,4553.0
PA,FLORESTA DO ARAGUAIA,4561.0
PA,CURUCA,4570.0
PA,BANNACH,4588.0
PA,FARO,4596.0
PA,NOVA IPIXUNA,4600.0
PA,GURUPA,4618.0
PA,PLACAS,4626.0
PA,IGARAPE-ACU,4634.0
PA,MARITUBA,4642.0
PA,IGARAPE-MIRI,4650.0
PA,TRACUATEUA,4669.0
PA,INHANGAPI,4677.0
PA,QUATIPURU,4685.0
PA,IRITUIA,4693.0
PA,CANAA DOS CARAJAS,4707.0
PA,ITAITUBA,4715.0
PA,ANAPU,4723.0
PA,ITUPIRANGA,4731.0
PA,CURUA,4740.0
PA,JACUNDA,4758.0
PA,CACHOEIRA DO PIRIA,4766.0
PA,JURUTI,4774.0
PA,PICARRA,4782.0
PA,LIMOEIRO DO AJURU,4790.0
PA,BELTERRA,4804.0
PA,MAGALHAES BARATA,4812.0
PA,SAO JOAO DA PONTA,4820.0
PA,MARABA,4839.0
PA,SAPUCAIA,4847.0
PA,MARACANA,4855.0
PA,MOJUI DOS CAMPOS,4863.0
PA,MARAPANIM,4871.0
PA,MELGACO,4898.0
PA,MOCAJUBA,4910.0
PA,MOJU,4936.0
PA,MONTE ALEGRE,4952.0
PA,MUANA,4979.0
PA,NOVA TIMBOTEUA,4995.0
PA,OBIDOS,5010.0
PA,OEIRAS DO PARA,5037.0
PA,ORIXIMINA,5053.0
PA,OUREM,5070.0
PA,PARAGOMINAS,5096.0
PA,PEIXE-BOI,5118.0
PA,PONTA DE PEDRAS,5134.0
PA,PORTEL,5150.0
PA,PORTO DE MOZ,5177.0
PA,PRAINHA,5193.0
PA,PRIMAVERA,5215.0
PA,SALINOPOLIS,5231.0
PA,SALVATERRA,5258.0
PA,SANTA CRUZ DO ARARI,5274.0
PA,SANTA ISABEL DO PARA,5290.0
PA,SANTA MARIA DO PARA,5312.0
PA,SANTANA DO ARAGUAIA,5339.0
PA,SANTAREM,5355.0
PA,SANTAREM NOVO,5371.0
PA,SANTO ANTONIO DO TAUA,5398.0
PA,SAO CAETANO DE ODIVELAS,5410.0
PA,SAO DOMINGOS DO CAPIM,5436.0
PA,SAO FELIX DO XINGU,5452.0
PA,SAO FRANCISCO DO PARA,5479.0
PA,SAO JOAO DO ARAGUAIA,5495.0
PA,SAO MIGUEL DO GUAMA,5517.0
PA,SAO SEBASTIAO DA BOA VISTA,5533.0
PA,SENADOR JOSE PORFIRIO,5550.0
PA,SOURE,5576.0
PA,TOME-ACU,5592.0
PA,TUCURUI,5614.0
PA,VIGIA,5630.0
PA,VISEU,5657.0
PA,REDENCAO,5673.0
PA,RIO MARIA,5690.0
PA,XINGUARA,5711.0
PA,RONDON DO PARA,5738.0
PA,URUARA,5754.0
PA,MEDICILANDIA,5770.0
PA,SAO GERALDO DO ARAGUAIA,5797.0
PA,CONCORDIA DO PARA,5819.0
PA,PARAUAPEBAS,5835.0
PA,CURIONOPOLIS,5851.0
PA,GARRAFAO DO NORTE,5878.0
PA,RUROPOLIS,5894.0
PA,PACAJA,5916.0
PA,BREJO GRANDE DO ARAGUAIA,5932.0
PA,OURILANDIA DO NORTE,5959.0
PA,DOM ELISEU,5975.0
PA,SANTA MARIA DAS BARREIRAS,5991.0
AP,PRACUUBA,6009.0
AP,AMAPA,6017.0
AP,PORTO GRANDE,6025.0
AP,CALCOENE,6033.0
AP,ITAUBAL,6041.0
AP,MACAPA,6050.0
AP,CUTIAS,6068.0
