name,ll
de,-2.7198682834590096
e,-3.19017145787131
sa,-3.7745052450328
da,-3.78460266549209
ltda,-3.9347679641781004
outro,-4.0236651098568395
silva,-4.0288239424092005
do,-4.0681940685332
banco,-4.22175306378693
,-4.484918335530651
dos,-4.67102950990649
maria,-4.74912371827717
santos,-4.75296895252721
oliveira,-4.93784614395464
outros,-4.9642638821894005
souza,-4.98318052492938
brasil,-5.04735536561683
servicos,-5.25420410416708
sa,-5.44515343746527
me,-5.45306291266187
pereira,-5.45652406922763
paulo,-5.495946749246861
carlos,-5.50733726374519
ferreira,-5.52574506892362
sa,-5.567577971553639
rio,-5.568870268961849
estado,-5.578616101567429
jose,-5.70550805555784
sa,-5.710082933035901
costa,-5.71530898080513
luiz,-5.73806123230474
bradesco,-5.7561588815309905
rodrigues,-5.76746729754117
jose,-5.808214930211441
alves,-5.80938287670519
antonio,-5.82429616055591
gomes,-5.8446226048374905
telemar,-5.85435416478775
sao,-5.87521493955505
seguro,-5.9471277238989195
municipio,-5.95016247660736
janeiro,-5.95355637086128
leste,-5.960479591209741
norte,-5.966741605410269
comercio,-5.969684126938809
lima,-5.989646303594769
investimento,-6.030105538025019
a,-6.03226676644353
ampla,-6.06598555083554
ribeiro,-6.066377235925731
municipio,-6.077520353084
carvalho,-6.07819970093622
nacional,-6.10418860016616
almeida,-6.1043048522007
santander,-6.129260534908051
instituto,-6.145301250116451
ltda,-6.16629281065793
comercio,-6.17480191451315
energia,-6.19400965890702
social,-6.23701446683334
condominio,-6.241271773868849
financiamento,-6.26174524809106
municipal,-6.26720340450845
martins,-6.279732826300711
unibanco,-6.331409035403239
prefeitura,-6.34374037193148
soares,-6.37258672492335
nascimento,-6.38305562426541
goncalves,-6.41323452962377
companhia,-6.41704194280578
itau,-6.417836981804559
eletricidade,-6.43873302460487
itaucard,-6.4436178344482995
aparecida,-6.44934710204334
vieira,-6.45099008277931
roberto,-6.460489968358071
em,-6.463732270737059
itau,-6.47310237192122
francisco,-6.48928710854658
lopes,-6.49091152646459
fernandes,-6.49262429557389
barbosa,-6.4970051813331695
light,-6.5060855394826795
fazenda,-6.52343613247128
publica,-6.531958154752519
dias,-6.5358884858504105
