tribunal,secao,subsecao,sede,municipio
TRF1,Acre,Seção Judiciária,Rio  Branco,  Acrelândia
TRF1,Acre,Seção Judiciária,Rio  Branco,  Assis  Brasil
TRF1,Acre,Seção Judiciária,Rio  Branco,  Brasiléia
TRF1,Acre,Seção Judiciária,Rio  Branco,  Bujari
TRF1,Acre,Seção Judiciária,Rio  Branco, Capixaba
TRF1,Acre,Seção Judiciária,Rio  Branco, Cruzeiro do Sul
TRF1,Acre,Seção Judiciária,Rio  Branco, Epitaciolândia
TRF1,Acre,Seção Judiciária,Rio  Branco, Manoel Urbano
TRF1,Acre,Seção Judiciária,Rio  Branco, Plácido  de  Castro
TRF1,Acre,Seção Judiciária,Rio  Branco,  Porto  Acre
TRF1,Acre,Seção Judiciária,Rio  Branco,  Santa  Rosa  do  Purus
TRF1,Acre,Seção Judiciária,Rio  Branco,  Sena Madureira
TRF1,Acre,Seção Judiciária,Rio  Branco, Senador Guiomard
TRF1,Acre,Seção Judiciária,Rio  Branco, Xapuri
TRF1,AC,Cruzeiro do Sul,Cruzeiro  do  Sul,  Feijó
TRF1,AC,Cruzeiro do Sul,Cruzeiro  do  Sul,  Jordão
TRF1,AC,Cruzeiro do Sul,Cruzeiro  do  Sul,  Mâncio  Lima
TRF1,AC,Cruzeiro do Sul,Cruzeiro  do  Sul,  Marechal Thaumaturgo
TRF1,AC,Cruzeiro do Sul,Cruzeiro  do  Sul, Porto Walter
TRF1,AC,Cruzeiro do Sul,Cruzeiro  do  Sul, Rodrigues Alves
TRF1,AC,Cruzeiro do Sul,Cruzeiro  do  Sul, Tarauacá.
TRF1,Amazonas,Seção Judiciária,Manaus,    Anamã
TRF1,Amazonas,Seção Judiciária,Manaus,    Anori
TRF1,Amazonas,Seção Judiciária,Manaus,    Apuí
TRF1,Amazonas,Seção Judiciária,Manaus,    Autazes
TRF1,Amazonas,Seção Judiciária,Manaus,    Barcelos
TRF1,Amazonas,Seção Judiciária,Manaus, Barreirinha
TRF1,Amazonas,Seção Judiciária,Manaus,  Beruri
TRF1,Amazonas,Seção Judiciária,Manaus,  Boa  Vista  do  Ramos
TRF1,Amazonas,Seção Judiciária,Manaus,  Boca  do  Acre
TRF1,Amazonas,Seção Judiciária,Manaus, Borba
TRF1,Amazonas,Seção Judiciária,Manaus, Caapiranga
TRF1,Amazonas,Seção Judiciária,Manaus, Canutama
TRF1,Amazonas,Seção Judiciária,Manaus, Careiro
TRF1,Amazonas,Seção Judiciária,Manaus, Careiro da Várzea
TRF1,Amazonas,Seção Judiciária,Manaus, Codajás
TRF1,Amazonas,Seção Judiciária,Manaus,   Eirunepé
TRF1,Amazonas,Seção Judiciária,Manaus,   Envira
TRF1,Amazonas,Seção Judiciária,Manaus,   Guajará
TRF1,Amazonas,Seção Judiciária,Manaus,   Humaitá
TRF1,Amazonas,Seção Judiciária,Manaus,   Ipixuna
TRF1,Amazonas,Seção Judiciária,Manaus, Iranduba
TRF1,Amazonas,Seção Judiciária,Manaus,     Itacoatiara
TRF1,Amazonas,Seção Judiciária,Manaus,     Itamarati
TRF1,Amazonas,Seção Judiciária,Manaus,     Itapiranga
TRF1,Amazonas,Seção Judiciária,Manaus,     Lábrea
TRF1,Amazonas,Seção Judiciária,Manaus, Manacapuru
TRF1,Amazonas,Seção Judiciária,Manaus,   Manaquiri
TRF1,Amazonas,Seção Judiciária,Manaus,   Manicoré
TRF1,Amazonas,Seção Judiciária,Manaus,   Maués
TRF1,Amazonas,Seção Judiciária,Manaus,   Nhamundá
TRF1,Amazonas,Seção Judiciária,Manaus, Nova   Olinda   do   Norte
TRF1,Amazonas,Seção Judiciária,Manaus,   Novo   Airão
TRF1,Amazonas,Seção Judiciária,Manaus,   Novo   Aripuanã
TRF1,Amazonas,Seção Judiciária,Manaus, Parintins
TRF1,Amazonas,Seção Judiciária,Manaus, Pauini
TRF1,Amazonas,Seção Judiciária,Manaus, Presidente Figueiredo
TRF1,Amazonas,Seção Judiciária,Manaus, Rio Preto da Eva
TRF1,Amazonas,Seção Judiciária,Manaus, Santa Isabel do Rio Negro
TRF1,Amazonas,Seção Judiciária,Manaus, São Gabriel da Cachoeira
TRF1,Amazonas,Seção Judiciária,Manaus, São Sebastião do Uatumã
TRF1,Amazonas,Seção Judiciária,Manaus, Silves
TRF1,Amazonas,Seção Judiciária,Manaus, Urucará
TRF1,Amazonas,Seção Judiciária,Manaus, Urucurituba.
TRF1,AM,Tabatinga,Tabatinga, Amaturá
TRF1,AM,Tabatinga,Tabatinga, Atalaia do Norte
TRF1,AM,Tabatinga,Tabatinga, Benjamin Constant
TRF1,AM,Tabatinga,Tabatinga, Jutaí
TRF1,AM,Tabatinga,Tabatinga,   Santo   Antônio   do   Içá
TRF1,AM,Tabatinga,Tabatinga,   São   Paulo   de   Olivença
TRF1,AM,Tabatinga,Tabatinga, Tonantins.
TRF1,AM,Tefé,Tefé,  Alvarães
TRF1,AM,Tefé,Tefé,  Carauari
TRF1,AM,Tefé,Tefé,  Coari
TRF1,AM,Tefé,Tefé,  Fonte  Boa
TRF1,AM,Tefé,Tefé,  Japurá
TRF1,AM,Tefé,Tefé,  Juruá
TRF1,AM,Tefé,Tefé, Maraã
TRF1,AM,Tefé,Tefé, Tapauá
TRF1,AM,Tefé,Tefé, Uarini.
TRF1,Amapá,Seção Judiciária,Macapá,    Amapá
TRF1,Amapá,Seção Judiciária,Macapá,    Cutias
TRF1,Amapá,Seção Judiciária,Macapá,    Ferreira    Gomes
TRF1,Amapá,Seção Judiciária,Macapá,    Itaubal
TRF1,Amapá,Seção Judiciária,Macapá, Mazagão
TRF1,Amapá,Seção Judiciária,Macapá,   Pedra   Branca   do   Amaparí
TRF1,Amapá,Seção Judiciária,Macapá,   Porto   Grande
TRF1,Amapá,Seção Judiciária,Macapá, Pracuúba
TRF1,Amapá,Seção Judiciária,Macapá, Santana
TRF1,Amapá,Seção Judiciária,Macapá, Serra do Navio
TRF1,Amapá,Seção Judiciária,Macapá, Tartarugalzinho.
TRF1,AP,Laranjal do Jari,Laranjal do Jari, Vitória do Jari.
TRF1,AP,Oiapoque,Oiapoque, Calçoene.
TRF1,Bahia,Seção Judiciária,Salvador,  Aratuípe
TRF1,Bahia,Seção Judiciária,Salvador,  Cachoeira
TRF1,Bahia,Seção Judiciária,Salvador,  Camaçari
TRF1,Bahia,Seção Judiciária,Salvador,  Candeias
TRF1,Bahia,Seção Judiciária,Salvador,  Cruz das  Almas
TRF1,Bahia,Seção Judiciária,Salvador,  Dias  d'Ávila
TRF1,Bahia,Seção Judiciária,Salvador,  Dom  Macedo  Costa
TRF1,Bahia,Seção Judiciária,Salvador,  Itaparica
TRF1,Bahia,Seção Judiciária,Salvador, Jaguaripe
TRF1,Bahia,Seção Judiciária,Salvador,  Lauro  de  Freitas
TRF1,Bahia,Seção Judiciária,Salvador,  Madre  de  Deus
TRF1,Bahia,Seção Judiciária,Salvador,  Mata  de  São João
TRF1,Bahia,Seção Judiciária,Salvador,    Muniz    Ferreira
TRF1,Bahia,Seção Judiciária,Salvador,    Muritiba
TRF1,Bahia,Seção Judiciária,Salvador,    Nazaré
TRF1,Bahia,Seção Judiciária,Salvador,    Salinas    da Margarida
TRF1,Bahia,Seção Judiciária,Salvador,  Santo  Amaro
TRF1,Bahia,Seção Judiciária,Salvador,  Santo  Antônio  de  Jesus
TRF1,Bahia,Seção Judiciária,Salvador,  São Felipe
TRF1,Bahia,Seção Judiciária,Salvador,  São  Francisco  do  Conde
TRF1,Bahia,Seção Judiciária,Salvador,  Saubara
TRF1,Bahia,Seção Judiciária,Salvador,  Simões  Filho
TRF1,Bahia,Seção Judiciária,Salvador, Valença e Vera Cruz.
TRF1,BA,Alagoinhas,Alagoinhas, Acajutiba
TRF1,BA,Alagoinhas,Alagoinhas, Água Fria
TRF1,BA,Alagoinhas,Alagoinhas, Araças
TRF1,BA,Alagoinhas,Alagoinhas, Aporá
TRF1,BA,Alagoinhas,Alagoinhas, Aramari
TRF1,BA,Alagoinhas,Alagoinhas, Cardeal da Silva
TRF1,BA,Alagoinhas,Alagoinhas, Catu
TRF1,BA,Alagoinhas,Alagoinhas, Cipó
TRF1,BA,Alagoinhas,Alagoinhas, Conde
TRF1,BA,Alagoinhas,Alagoinhas, Crisópolis
TRF1,BA,Alagoinhas,Alagoinhas, Entre Rios
TRF1,BA,Alagoinhas,Alagoinhas, Esplanada
TRF1,BA,Alagoinhas,Alagoinhas,  Inhambupe
TRF1,BA,Alagoinhas,Alagoinhas,  Irará
TRF1,BA,Alagoinhas,Alagoinhas,  Itanagra
TRF1,BA,Alagoinhas,Alagoinhas,  Itapicuru
TRF1,BA,Alagoinhas,Alagoinhas,  Jandaíra
TRF1,BA,Alagoinhas,Alagoinhas, Nova Soure
TRF1,BA,Alagoinhas,Alagoinhas, Olindina
TRF1,BA,Alagoinhas,Alagoinhas, Ouriçangas
TRF1,BA,Alagoinhas,Alagoinhas, Pojuca
TRF1,BA,Alagoinhas,Alagoinhas, Pedrão
TRF1,BA,Alagoinhas,Alagoinhas, Ribeira do Amparo
TRF1,BA,Alagoinhas,Alagoinhas, Ribeira do Pombal
TRF1,BA,Alagoinhas,Alagoinhas, Rio Real
TRF1,BA,Alagoinhas,Alagoinhas, São Sebastião do Passé
TRF1,BA,Alagoinhas,Alagoinhas, Sátiro Dias
TRF1,BA,Alagoinhas,Alagoinhas, Teodoro Sampaio.
TRF1,BA,Barreiras,Barreiras,  Angical
TRF1,BA,Barreiras,Barreiras,  Baianópolis
TRF1,BA,Barreiras,Barreiras,  Brejolândia
TRF1,BA,Barreiras,Barreiras,  Buritirama
TRF1,BA,Barreiras,Barreiras, Catolândia
TRF1,BA,Barreiras,Barreiras,  Cotegipe
TRF1,BA,Barreiras,Barreiras,  Cristópolis
TRF1,BA,Barreiras,Barreiras,  Formosa  do  Rio  Preto
TRF1,BA,Barreiras,Barreiras, Luís   Eduardo   Magalhães
TRF1,BA,Barreiras,Barreiras,   Mansidão
TRF1,BA,Barreiras,Barreiras,   Muquém   do   São Francisco
TRF1,BA,Barreiras,Barreiras,  Riachão  das  Neves
TRF1,BA,Barreiras,Barreiras,  Santa  Rita  de  Cássia
TRF1,BA,Barreiras,Barreiras,  São Desidério
TRF1,BA,Barreiras,Barreiras, Wanderley.
TRF1,BA,Campo Formoso,Campo  Formoso,  Andorinha
TRF1,BA,Campo Formoso,Campo  Formoso,  Antônio  Gonçalves
TRF1,BA,Campo Formoso,Campo  Formoso,  Caém
TRF1,BA,Campo Formoso,Campo  Formoso, Caldeirão   Grande
TRF1,BA,Campo Formoso,Campo  Formoso,   Cansanção
TRF1,BA,Campo Formoso,Campo  Formoso,   Capela   do   Alto   Alegre
TRF1,BA,Campo Formoso,Campo  Formoso, Capim    Grosso
TRF1,BA,Campo Formoso,Campo  Formoso,    Filadélfia
TRF1,BA,Campo Formoso,Campo  Formoso,    Gavião
TRF1,BA,Campo Formoso,Campo  Formoso,    Itiúba
TRF1,BA,Campo Formoso,Campo  Formoso,    Jacobina
TRF1,BA,Campo Formoso,Campo  Formoso, Jaguarari
TRF1,BA,Campo Formoso,Campo  Formoso, Mairi
TRF1,BA,Campo Formoso,Campo  Formoso, Miguel Calmon
TRF1,BA,Campo Formoso,Campo  Formoso, Mirangaba
TRF1,BA,Campo Formoso,Campo  Formoso, Monte Santo
TRF1,BA,Campo Formoso,Campo  Formoso, Nordestina
TRF1,BA,Campo Formoso,Campo  Formoso,  Nova  Fátima
TRF1,BA,Campo Formoso,Campo  Formoso,  Ourolândia
TRF1,BA,Campo Formoso,Campo  Formoso,  Pindobaçu
TRF1,BA,Campo Formoso,Campo  Formoso,  Ponto Novo
TRF1,BA,Campo Formoso,Campo  Formoso,  Queimadas
TRF1,BA,Campo Formoso,Campo  Formoso,  Quixabeira
TRF1,BA,Campo Formoso,Campo  Formoso,  Retirolândia
TRF1,BA,Campo Formoso,Campo  Formoso,  Santaluz
TRF1,BA,Campo Formoso,Campo  Formoso,  São Domingos
TRF1,BA,Campo Formoso,Campo  Formoso, São José do Jacuípe
TRF1,BA,Campo Formoso,Campo  Formoso, Saúde
TRF1,BA,Campo Formoso,Campo  Formoso, Senhor do Bonfim
TRF1,BA,Campo Formoso,Campo  Formoso, Serrolândia
TRF1,BA,Campo Formoso,Campo  Formoso,  Umburanas
TRF1,BA,Campo Formoso,Campo  Formoso,  Valente
TRF1,BA,Campo Formoso,Campo  Formoso,  Várzea  da  Roça
TRF1,BA,Campo Formoso,Campo  Formoso,  Várzea do Poço
TRF1,BA,Campo Formoso,Campo  Formoso, Várzea Nova.
TRF1,BA,Eunápolis,Eunápolis,   Belmonte
TRF1,BA,Eunápolis,Eunápolis,   Guaratinga
TRF1,BA,Eunápolis,Eunápolis,   Itabela
TRF1,BA,Eunápolis,Eunápolis,   Itagimirim
TRF1,BA,Eunápolis,Eunápolis, Itapebi
TRF1,BA,Eunápolis,Eunápolis, Jucuruçu
TRF1,BA,Eunápolis,Eunápolis, Porto Seguro
TRF1,BA,Eunápolis,Eunápolis, Santa Cruz Cabrália.
TRF1,BA,Feira de Santana,Feira  de  Santana,  Amélia  Rodrigues
TRF1,BA,Feira de Santana,Feira  de  Santana,  Anguera
TRF1,BA,Feira de Santana,Feira  de  Santana,  Antônio Cardoso
TRF1,BA,Feira de Santana,Feira  de  Santana,    Araci
TRF1,BA,Feira de Santana,Feira  de  Santana,    Baixa    Grande
TRF1,BA,Feira de Santana,Feira  de  Santana,    Barrocas
TRF1,BA,Feira de Santana,Feira  de  Santana,    Biritinga
TRF1,BA,Feira de Santana,Feira  de  Santana, Cabaceiras do Paraguaçu
TRF1,BA,Feira de Santana,Feira  de  Santana, Candeal
TRF1,BA,Feira de Santana,Feira  de  Santana, Castro Alves
TRF1,BA,Feira de Santana,Feira  de  Santana, Conceição da   Feira
TRF1,BA,Feira de Santana,Feira  de  Santana,   Conceição   do   Almeida
TRF1,BA,Feira de Santana,Feira  de  Santana,   Conceição   do   Coité
TRF1,BA,Feira de Santana,Feira  de  Santana, Conceição  do  Jacuípe
TRF1,BA,Feira de Santana,Feira  de  Santana,  Coração  de  Maria
TRF1,BA,Feira de Santana,Feira  de  Santana,  Elísio  Medrado
TRF1,BA,Feira de Santana,Feira  de  Santana, Governador  Mangabeira
TRF1,BA,Feira de Santana,Feira  de  Santana,  Ichu
TRF1,BA,Feira de Santana,Feira  de  Santana,  Ipecaetá
TRF1,BA,Feira de Santana,Feira  de  Santana,  Ipirá
TRF1,BA,Feira de Santana,Feira  de  Santana,  Itaberaba
TRF1,BA,Feira de Santana,Feira  de  Santana, Itatim
TRF1,BA,Feira de Santana,Feira  de  Santana, Lamarão
TRF1,BA,Feira de Santana,Feira  de  Santana, Macajuba
TRF1,BA,Feira de Santana,Feira  de  Santana, Maragogipe
TRF1,BA,Feira de Santana,Feira  de  Santana, Mundo Novo
